Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
05/29/2020,460,20,54,33,115,70,85,75,42,18,22,0,249,206,5,218,9,100,34,17,82,0,0,0,1,3,5,6,5,0,11,9,0,7,0,10,2,1,0,3,1,5,7,12,9,9,8,0,32,22,0,13,1,26,9,3,2
04/03/2020,467,24,164,2,71,64,77,94,80,49,30,0,254,212,1,114,24,184,81,17,47,0,0,1,2,2,4,6,9,0,12,12,0,3,0,19,2,0,0,2,7,11,23,27,40,33,21,0,77,86,1,37,4,91,22,6,4
12/24/2020,619,21,56,70,127,129,82,86,66,31,28,0,303,309,7,140,19,97,172,37,154,0,0,0,0,0,7,5,9,0,8,13,0,6,2,9,4,0,0,2,2,3,8,10,10,9,12,0,26,30,0,12,2,20,16,3,3
03/28/2020,248,4,133,2,27,54,36,44,38,28,19,0,137,110,1,37,5,133,41,11,21,0,0,0,0,2,0,1,1,0,1,3,0,1,0,2,1,0,0,1,5,11,18,33,21,22,22,0,71,62,0,22,3,86,15,6,1
09/15/2020,354,1,25,54,101,68,47,42,26,13,3,0,190,164,0,157,6,46,91,12,42,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,4,5,5,6,3,0,13,12,0,8,1,10,4,0,2
08/16/2020,120,3,18,10,40,28,9,15,10,6,1,1,56,62,2,27,5,17,42,9,20,0,0,1,0,1,0,1,0,0,2,1,0,0,0,1,2,0,0,0,6,0,1,2,5,2,2,0,11,6,1,11,1,5,0,0,1
12/06/2020,709,26,97,71,161,128,111,99,73,48,18,0,375,331,3,176,25,127,138,26,217,0,0,0,2,2,3,8,11,0,10,16,0,9,3,6,6,1,1,2,9,5,8,13,18,20,22,0,50,47,0,28,2,41,20,3,3
02/05/2021,406,8,50,49,101,73,53,55,36,22,17,0,206,198,2,104,20,68,84,25,105,0,0,1,0,1,3,0,3,0,4,4,0,3,0,4,1,0,0,1,4,5,6,6,9,9,10,0,28,22,0,13,2,24,9,1,1
03/15/2021,362,3,29,40,106,72,60,31,34,11,8,0,201,161,0,85,25,69,92,23,68,0,0,0,0,0,2,0,1,0,1,2,0,2,0,1,0,0,0,1,2,2,3,4,11,2,4,0,20,9,0,6,3,8,4,3,5
10/28/2020,1745,8,101,213,466,403,289,192,110,50,22,0,909,827,9,658,35,236,329,85,402,0,0,0,1,1,4,2,0,0,1,7,0,3,0,3,1,0,1,4,10,9,13,17,16,16,16,0,57,44,0,23,2,40,30,3,3
09/24/2020,407,5,25,52,120,87,61,44,28,9,6,0,200,204,3,174,6,39,108,9,71,0,0,0,1,1,1,1,1,0,2,3,0,4,0,1,0,0,0,0,0,2,4,5,6,6,2,0,11,14,0,7,0,7,7,2,2
04/22/2020,1054,45,150,33,170,169,168,205,150,65,94,0,518,479,57,431,23,228,102,44,226,0,0,3,2,5,15,8,12,0,20,25,0,8,0,27,9,1,0,1,5,10,29,24,35,20,26,0,69,80,1,47,4,62,25,11,1
03/19/2020,184,2,39,5,34,47,36,25,18,17,2,0,86,98,0,20,10,80,63,7,4,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,2,8,9,6,11,2,0,17,22,0,4,1,25,8,1,0
01/01/2021,267,20,84,27,58,50,38,35,19,22,18,0,132,133,2,57,8,50,67,14,71,0,0,1,1,0,6,4,8,0,8,12,0,6,1,6,6,1,0,0,4,12,7,21,9,12,19,0,42,42,0,23,3,33,15,5,5
07/08/2020,310,4,28,37,100,69,38,33,20,11,2,0,158,151,1,89,8,72,54,12,75,0,0,0,0,0,2,1,1,0,3,1,0,2,0,1,1,0,0,2,6,3,0,2,6,5,4,0,14,14,0,10,1,8,6,1,2
07/11/2020,155,2,20,9,69,22,22,13,12,8,0,0,79,76,0,34,3,43,35,13,27,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,8,1,2,1,3,4,1,0,8,12,0,4,1,13,2,0,0
06/07/2020,110,20,32,3,30,29,16,13,8,7,4,0,52,58,0,44,3,22,9,3,29,0,0,1,2,1,8,1,7,0,7,13,0,10,0,8,2,0,0,0,6,6,5,5,5,5,0,0,18,14,0,16,2,10,1,2,1
11/04/2020,2507,8,108,304,706,563,365,283,171,84,31,0,1282,1212,13,900,60,345,546,107,549,0,0,0,0,0,1,2,5,0,5,3,0,5,0,1,2,0,0,5,4,6,10,27,18,28,10,0,57,51,0,33,1,39,24,5,6
03/30/2020,439,12,160,6,54,78,81,82,59,43,36,0,217,222,0,85,12,210,78,17,37,0,0,1,1,2,2,5,1,0,4,8,0,3,1,6,2,0,0,0,9,9,17,33,35,33,24,0,69,91,0,27,2,101,20,9,1
01/24/2021,340,16,52,34,82,72,46,43,29,24,10,0,170,169,1,64,18,55,111,18,74,0,0,0,1,2,2,8,3,0,11,5,0,6,1,7,2,0,0,0,3,7,6,6,10,13,7,0,29,23,0,10,4,22,11,3,2
04/12/2020,341,33,138,28,32,56,54,60,46,34,31,0,142,182,17,91,7,116,56,21,50,0,0,1,2,3,11,6,10,0,16,17,0,4,1,20,8,0,0,0,3,7,16,31,30,30,21,0,56,81,1,33,4,69,25,7,0
09/04/2020,396,2,25,61,103,83,52,38,33,16,10,0,206,188,2,187,11,67,84,9,38,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,3,1,4,3,3,5,6,0,18,7,0,10,1,10,3,0,1
02/22/2021,390,7,28,54,89,83,58,54,33,11,8,0,197,191,2,136,12,61,87,19,75,0,0,0,2,2,1,1,1,0,3,4,0,3,0,4,0,0,0,0,1,2,4,4,8,2,7,0,11,17,0,9,0,11,7,0,1
07/18/2020,132,4,18,13,37,25,21,19,9,5,3,0,61,71,0,41,1,42,20,5,23,0,0,0,0,1,1,1,1,0,2,2,0,2,0,0,2,0,0,0,1,1,2,2,3,7,2,0,9,9,0,2,0,11,2,2,1
06/25/2020,248,11,23,22,69,65,36,21,20,11,4,0,123,125,0,85,4,60,43,8,48,0,0,1,3,0,2,2,3,0,6,5,0,7,0,3,1,0,0,0,3,1,4,4,4,6,1,0,13,10,0,6,0,13,2,1,1
07/22/2020,364,4,36,39,123,82,56,28,21,13,2,0,188,170,6,131,9,79,96,10,39,0,0,0,0,1,0,1,2,0,1,3,0,1,0,1,2,0,0,3,3,7,6,1,6,8,2,0,20,16,0,13,1,15,5,1,1
07/17/2020,326,3,25,35,103,66,48,35,21,13,5,0,168,155,3,127,6,78,55,14,46,0,0,0,0,2,0,0,1,0,1,2,0,2,0,1,0,0,0,0,5,2,8,3,2,2,3,0,11,14,0,4,0,13,6,0,2
02/09/2021,414,7,38,49,112,74,60,54,39,13,13,0,211,198,5,88,16,96,98,16,100,0,0,0,0,2,1,1,3,0,4,3,0,1,1,3,2,0,0,0,2,2,4,11,6,8,5,0,16,22,0,11,0,15,9,3,0
12/13/2020,612,22,74,53,130,128,92,84,60,38,27,0,328,282,2,123,29,97,143,36,184,0,1,0,1,2,5,9,4,0,5,17,0,5,1,10,6,0,0,3,7,2,8,8,15,11,20,0,39,35,0,23,3,31,14,3,0
03/19/2021,426,1,30,63,134,105,50,36,20,12,6,0,212,213,1,105,26,82,107,21,85,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,4,3,4,6,5,5,0,16,14,0,10,0,14,4,0,2
10/13/2020,881,5,43,90,254,194,134,108,58,24,19,0,449,429,3,366,17,122,195,43,138,0,0,0,0,0,2,2,1,0,1,4,0,1,0,3,1,0,0,2,4,4,9,6,8,4,6,0,24,19,0,13,1,10,11,3,5
11/11/2020,2477,9,138,265,679,513,361,317,210,78,54,0,1298,1166,13,563,66,357,514,139,838,0,0,0,0,1,5,1,2,0,3,6,0,5,0,2,2,0,0,2,12,12,15,22,28,20,27,0,76,62,0,30,2,54,39,9,4
06/06/2020,170,20,38,18,33,22,36,28,20,9,4,0,88,81,1,82,1,25,24,7,31,0,0,1,1,0,7,7,4,0,7,13,0,8,1,9,2,0,0,0,6,5,4,5,10,2,6,0,12,26,0,15,0,13,8,0,2
03/10/2021,329,8,17,52,97,62,40,44,22,7,5,0,166,159,4,89,9,46,82,19,84,0,0,0,2,1,1,3,1,0,2,6,0,2,1,2,2,0,1,0,2,0,1,3,4,4,3,0,9,8,0,6,1,4,2,2,2
11/25/2020,1834,17,117,263,433,354,256,233,165,84,45,1,963,860,11,549,36,300,319,92,538,0,0,1,1,0,3,6,6,0,4,13,0,8,0,4,5,0,0,2,8,12,10,22,26,18,19,0,62,55,0,40,5,33,27,7,5
02/16/2021,211,5,30,23,65,30,43,22,17,7,4,0,112,98,1,39,7,37,66,11,51,0,0,0,0,0,1,3,1,0,1,4,0,2,0,2,1,0,0,0,3,2,3,5,7,5,5,0,22,8,0,5,0,17,6,1,1
02/10/2021,366,11,52,51,101,69,41,44,28,19,13,0,171,195,0,72,12,77,94,23,88,0,0,0,1,1,2,2,5,0,5,6,0,3,1,4,3,0,0,1,6,8,5,9,10,4,9,0,22,30,0,18,1,21,11,1,0
04/08/2020,705,36,174,11,86,100,107,155,129,69,48,0,329,347,29,171,20,302,103,31,78,0,0,0,1,7,8,9,11,0,13,23,0,3,2,22,9,0,0,1,1,14,16,38,41,37,26,0,65,108,1,38,5,89,30,12,0
11/24/2020,1926,16,126,237,446,364,325,254,163,84,52,1,1019,896,11,596,49,315,342,104,520,0,0,0,1,1,3,8,3,0,2,14,0,3,0,8,5,0,0,2,6,8,12,24,32,16,26,0,59,67,0,38,6,47,28,2,5
12/07/2020,2059,34,120,276,470,395,328,283,168,90,49,0,1065,983,11,759,62,329,320,104,485,0,0,0,3,5,3,10,13,0,10,24,0,12,3,10,9,0,0,6,13,9,9,26,21,14,22,0,57,62,1,34,4,50,20,4,8
12/02/2020,2049,35,114,215,513,408,305,300,183,75,50,0,1070,973,6,701,68,288,361,82,549,0,1,0,1,6,5,7,15,0,19,16,0,13,3,12,5,2,0,1,8,9,18,10,20,21,27,0,58,56,0,27,2,42,32,4,7
06/09/2020,254,23,37,19,49,34,46,44,38,14,10,0,114,136,4,111,3,38,37,12,53,0,0,0,2,6,5,4,6,0,7,16,0,11,0,10,2,0,0,0,1,1,7,6,6,6,10,0,15,22,0,10,0,19,7,1,0
02/13/2021,222,8,30,23,62,40,37,29,19,7,5,0,119,103,0,70,13,39,55,11,34,0,0,0,1,0,1,3,3,0,3,5,0,2,1,1,4,0,0,1,3,1,7,1,7,4,6,0,18,12,0,4,1,11,8,4,2
09/26/2020,232,4,23,26,65,50,32,40,11,7,1,0,104,128,0,89,5,13,72,13,40,0,0,1,0,1,1,0,1,0,1,3,0,2,0,1,1,0,0,0,3,6,1,6,2,4,1,0,16,7,0,6,0,6,8,1,2
04/26/2020,433,51,132,12,84,54,96,66,57,32,32,0,228,203,2,150,18,89,61,22,93,0,1,0,4,3,13,11,19,0,22,29,0,18,2,23,8,0,0,0,11,7,22,23,28,19,22,0,58,74,0,53,2,38,28,10,1
07/20/2020,392,5,23,53,93,90,55,47,36,14,4,0,197,190,5,162,9,87,69,17,48,0,0,1,1,0,2,1,0,0,2,3,0,3,0,1,1,0,0,1,2,3,2,3,6,5,1,0,16,7,0,8,0,14,0,0,1
11/10/2020,3350,14,150,397,818,687,545,438,284,127,54,0,1715,1624,11,1218,86,453,640,144,809,0,0,0,1,0,1,7,5,0,10,4,0,3,0,8,3,0,0,0,4,15,16,27,36,31,21,0,65,85,0,43,3,55,30,11,8
06/21/2020,47,11,18,4,16,11,3,7,2,3,1,0,28,19,0,16,1,11,6,2,11,0,0,1,0,1,3,3,3,0,6,5,0,4,0,3,4,0,0,1,2,2,1,3,3,5,1,0,13,5,0,8,0,7,2,1,0
10/23/2020,1018,4,74,126,254,188,174,132,90,37,16,1,544,467,7,267,25,189,262,42,233,0,0,0,0,0,0,0,4,0,3,1,0,2,0,1,1,0,0,3,7,10,5,13,17,13,6,0,40,34,0,19,2,23,19,1,10
04/23/2020,1465,36,164,32,194,205,222,240,244,161,167,0,733,644,88,476,20,368,178,71,352,0,1,1,4,3,9,8,10,0,9,27,0,13,2,14,7,0,0,1,6,13,22,26,39,30,27,0,75,87,2,60,6,57,28,11,2
03/17/2020,96,1,29,0,15,21,18,17,19,2,4,0,37,58,1,7,3,38,40,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,2,7,8,3,4,0,8,21,0,4,0,20,5,0,0
12/12/2020,912,21,90,110,214,177,135,124,89,45,18,0,467,443,2,287,27,134,216,32,216,0,0,0,0,2,5,5,9,0,10,11,0,3,2,9,7,0,0,1,3,6,8,20,18,21,13,0,41,48,1,16,5,43,15,3,8
12/28/2020,1672,19,99,204,369,362,215,244,172,66,40,0,848,815,9,604,52,247,281,90,398,0,0,0,0,3,2,8,6,0,7,12,0,7,1,4,7,0,0,3,7,4,10,19,18,21,17,0,50,49,0,29,3,37,20,5,5
01/09/2021,779,17,61,96,218,141,101,104,71,34,13,1,404,373,2,243,23,123,162,42,186,0,0,0,1,1,3,3,9,0,7,10,0,4,1,6,6,0,0,0,6,4,4,5,18,13,10,1,29,32,0,17,2,24,12,2,4
09/20/2020,109,6,18,14,31,29,13,9,5,7,1,0,57,52,0,29,9,13,46,2,10,0,0,0,0,0,3,1,2,0,3,3,0,3,0,1,2,0,0,0,3,2,1,5,3,3,1,0,6,12,0,5,0,8,4,1,0
05/14/2020,776,45,130,49,167,151,132,109,95,43,30,0,397,367,12,329,13,161,74,32,167,1,0,4,1,5,5,7,22,0,22,23,0,13,4,21,6,1,0,2,8,9,14,18,39,26,14,0,56,74,0,47,3,48,18,10,4
05/06/2020,974,43,139,55,190,161,213,169,95,53,38,0,474,468,32,469,13,146,89,40,217,0,0,1,3,5,11,9,14,0,14,29,0,13,5,13,12,0,0,2,2,10,22,24,32,26,21,0,63,76,0,46,1,50,25,15,2
06/18/2020,184,14,30,24,43,34,30,29,9,5,10,0,93,87,4,80,3,31,27,4,39,0,0,1,1,0,5,4,3,0,7,7,0,6,0,7,1,0,0,2,2,5,3,1,4,6,7,0,16,14,0,11,0,9,10,0,0
11/26/2020,265,22,107,22,49,36,39,32,36,31,19,1,134,130,1,49,6,82,40,25,63,0,0,0,1,1,2,9,9,0,11,11,0,9,1,8,4,0,0,2,5,11,15,17,16,26,15,0,59,48,0,36,1,44,14,6,6
10/14/2020,851,3,38,74,246,215,137,90,62,19,8,0,458,390,3,333,18,131,179,31,159,0,0,0,0,0,0,1,2,0,2,1,0,1,0,0,2,0,0,1,3,2,4,9,5,9,5,0,20,18,0,8,0,13,11,1,5
07/06/2020,283,5,30,23,80,66,41,35,21,11,6,0,149,129,5,86,11,69,49,7,61,0,0,0,0,1,2,0,2,0,4,1,0,1,0,2,2,0,0,1,3,3,5,6,3,5,4,0,17,13,0,4,1,15,7,0,3
11/13/2020,2688,20,128,332,648,536,403,344,242,123,60,0,1449,1228,11,924,61,402,492,127,682,0,0,0,0,4,2,6,8,0,8,12,0,7,0,5,7,1,0,1,10,14,7,20,33,27,16,0,50,78,0,44,2,45,26,3,8
06/10/2020,233,12,32,10,57,46,31,36,26,18,9,0,129,100,4,98,3,46,31,8,47,0,0,1,2,2,1,4,2,0,5,7,0,5,1,6,0,0,0,0,1,4,2,8,4,6,7,0,19,13,0,7,1,17,6,1,0
02/03/2021,578,7,53,84,147,100,75,64,65,27,16,0,298,279,1,182,16,116,132,20,112,0,0,0,1,0,2,2,2,0,2,5,0,3,0,3,1,0,0,0,5,5,6,8,13,10,6,0,25,28,0,21,1,22,4,1,4
10/17/2020,547,5,49,69,140,115,95,58,45,15,10,0,275,272,0,221,14,72,126,23,91,0,0,0,1,0,1,0,3,0,2,3,0,3,0,2,0,0,0,2,7,4,6,5,9,8,8,0,34,15,0,15,2,18,9,1,4
01/25/2021,861,11,80,103,200,175,129,105,97,32,20,0,459,395,7,273,22,149,161,44,212,0,0,1,1,0,2,2,5,0,1,10,0,5,0,1,4,1,0,2,4,10,4,17,17,13,13,0,43,37,0,14,2,35,19,6,4
04/04/2020,327,22,160,2,34,39,61,70,63,33,25,0,153,174,0,69,14,144,43,18,39,0,0,0,3,4,4,4,7,0,13,9,0,3,0,14,4,1,0,0,4,11,22,33,45,24,21,0,78,81,1,39,10,78,23,7,3
08/19/2020,483,5,20,56,150,90,57,71,39,13,7,0,256,226,1,204,4,82,107,24,62,0,0,0,1,0,2,1,1,0,3,2,0,2,0,1,2,0,0,0,2,2,1,6,2,6,1,0,11,9,0,4,0,11,4,0,1
06/12/2020,248,21,26,32,61,42,46,27,21,8,11,0,141,103,4,128,2,41,24,6,47,0,0,1,0,3,7,7,3,0,9,12,0,11,0,7,3,0,0,1,2,1,2,5,7,6,2,0,12,14,0,11,0,10,4,0,1
06/30/2020,265,3,30,25,92,59,39,24,15,5,6,0,135,129,1,107,3,53,50,3,49,0,0,0,0,0,1,2,0,0,2,1,0,1,0,1,1,0,0,2,4,3,3,4,7,2,5,0,16,14,0,12,1,10,5,0,2
12/01/2020,2181,35,141,270,510,426,338,272,199,107,59,0,1162,1011,8,740,62,327,357,88,607,0,0,0,4,5,11,9,6,0,20,15,0,13,1,14,5,0,2,7,7,11,14,21,32,28,21,0,73,68,0,50,1,53,25,5,7
08/09/2020,115,2,18,16,41,21,12,6,9,6,4,0,53,62,0,41,4,18,37,2,13,0,0,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,5,2,1,4,2,0,4,0,10,8,0,3,0,9,3,0,3
07/16/2020,296,2,28,27,87,67,43,31,22,10,9,0,156,139,1,93,3,80,58,11,51,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,8,2,5,4,3,4,2,0,14,14,0,8,1,13,4,1,1
04/06/2020,583,22,203,5,78,97,102,110,94,56,41,0,300,273,10,137,21,233,100,27,65,0,0,0,2,5,1,8,6,0,9,13,0,3,0,16,3,0,0,0,6,22,16,42,59,31,27,0,109,92,2,45,10,113,22,10,3
08/12/2020,431,2,32,51,117,93,72,53,29,9,7,0,225,203,3,176,1,80,91,20,63,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,2,2,5,6,9,4,3,0,13,19,0,14,0,11,5,1,1
12/18/2020,1298,19,92,168,291,252,204,166,119,58,39,1,666,620,12,422,56,222,231,72,295,0,0,0,0,3,2,5,9,0,9,10,0,11,0,4,4,0,0,2,3,12,9,8,27,17,14,0,45,47,0,20,8,36,20,4,4
05/30/2020,238,21,53,22,54,41,43,41,23,9,5,0,131,105,2,97,4,44,21,12,60,0,0,0,2,1,7,5,6,0,11,10,0,11,0,5,4,1,0,2,6,3,8,10,10,7,7,0,19,34,0,15,2,20,9,1,6
09/28/2020,420,2,35,56,101,76,69,53,40,14,11,0,216,200,4,180,2,52,80,11,95,0,0,0,1,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,5,2,3,5,7,6,7,0,17,18,0,7,1,16,7,2,2
12/21/2020,1471,26,99,175,300,273,273,191,114,85,60,0,734,727,10,439,55,226,289,75,387,0,0,0,1,2,5,8,10,0,14,12,0,9,1,10,6,0,0,1,4,9,13,20,14,17,21,0,45,53,1,21,4,40,20,5,9
03/22/2021,493,1,,54,142,105,78,71,27,12,4,0,242,250,1,108,20,103,143,26,93,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,
12/29/2020,1720,19,73,219,392,358,257,222,153,71,48,0,925,790,5,635,47,243,325,90,380,0,0,0,1,1,5,6,6,0,7,12,0,5,1,8,5,0,0,3,3,7,9,9,20,11,11,0,40,33,0,20,3,27,17,3,3
08/26/2020,389,3,37,48,127,82,44,44,23,12,9,0,197,191,1,191,5,42,92,19,40,0,0,0,1,0,0,1,1,0,0,3,0,1,0,1,1,0,0,2,4,4,4,9,5,5,4,0,22,15,0,16,1,8,5,5,2
05/27/2020,611,26,65,70,124,100,116,82,65,32,22,0,316,285,10,304,8,105,50,21,123,0,0,2,1,1,7,7,8,0,10,16,0,10,1,10,5,0,0,0,4,6,11,13,12,11,8,0,30,35,0,24,1,20,16,2,2
05/08/2020,924,44,97,52,169,191,196,153,85,44,34,0,441,465,18,440,17,138,77,42,210,0,0,0,1,4,13,12,14,0,21,23,0,15,0,15,14,0,0,0,8,8,9,19,18,13,22,0,48,49,0,38,3,36,12,5,3
06/22/2020,219,9,30,23,60,34,38,27,19,15,3,0,113,105,1,101,3,44,28,5,38,0,1,0,0,2,3,1,2,0,5,4,0,7,0,1,1,0,0,1,4,5,4,5,4,4,3,0,14,16,0,15,0,12,3,0,0
11/22/2020,779,15,108,62,200,159,141,88,76,34,19,0,384,394,1,166,27,118,242,47,179,0,0,0,2,1,4,4,4,0,8,7,0,5,0,3,7,0,0,2,8,10,16,10,26,25,11,0,51,57,0,29,4,44,18,8,5
01/31/2021,162,16,44,13,33,31,32,22,17,8,6,0,73,89,0,36,11,33,40,11,31,0,0,0,0,3,6,4,3,0,7,9,0,11,0,4,1,0,0,0,7,4,9,8,7,3,6,0,21,22,1,10,0,19,6,5,4
01/02/2021,1114,21,66,128,275,209,192,148,85,51,26,0,588,523,3,409,28,135,260,64,218,0,1,0,1,1,3,6,9,0,4,17,0,7,3,5,6,0,0,0,7,6,7,9,16,12,9,0,30,36,0,17,2,23,15,6,3
03/14/2021,179,3,18,22,55,36,31,17,13,5,0,0,84,95,0,36,8,30,55,19,31,0,0,0,0,0,1,1,1,0,2,1,0,1,0,1,1,0,0,1,1,3,1,3,5,3,1,0,9,9,0,1,1,9,3,1,3
05/23/2020,328,30,90,31,63,58,54,54,36,18,14,0,176,151,1,124,8,70,34,14,78,0,1,1,1,2,4,9,12,0,16,14,0,9,0,10,11,0,0,3,8,7,14,11,22,9,16,0,37,53,0,33,3,36,8,3,7
08/20/2020,424,3,22,48,120,86,64,58,34,10,4,0,237,185,2,176,8,70,105,16,49,0,0,0,1,0,2,0,0,0,2,1,0,2,0,0,1,0,0,0,4,5,4,3,4,1,1,0,12,10,0,11,1,4,6,0,0
02/02/2021,645,6,52,68,155,124,105,87,62,25,19,0,312,330,3,183,23,128,166,23,122,0,0,0,0,0,3,1,2,0,3,3,0,1,0,3,2,0,0,2,7,3,7,11,7,7,8,0,31,21,0,15,1,23,10,1,2
01/20/2021,794,12,62,107,214,156,118,91,60,32,16,0,401,391,2,218,30,155,169,46,176,0,0,1,0,1,4,4,2,0,8,4,0,2,1,6,3,0,0,0,5,8,10,11,11,7,10,0,31,31,0,15,0,25,17,1,4
11/23/2020,2379,19,135,275,544,490,362,348,204,99,57,0,1261,1110,8,850,61,383,422,106,557,0,0,1,1,2,2,5,8,0,11,8,0,7,0,7,3,2,0,3,11,10,13,19,30,19,30,0,68,67,0,41,5,54,23,4,8
05/18/2020,944,33,111,67,235,152,189,149,83,46,23,0,494,439,11,431,10,150,72,37,244,0,0,2,2,2,5,10,12,0,13,20,0,10,1,13,9,0,0,1,14,11,15,20,13,20,17,0,51,60,0,40,0,45,15,4,7
01/28/2021,608,10,52,83,145,107,95,80,53,29,16,0,304,301,3,190,17,100,141,28,132,0,0,1,0,0,2,3,4,0,5,5,0,3,1,4,2,0,0,1,4,5,4,7,7,12,12,0,28,24,0,9,1,20,12,4,6
05/28/2020,521,22,68,41,111,89,98,69,62,27,24,0,258,255,8,212,7,114,58,14,116,0,0,0,1,5,1,4,11,0,11,11,0,10,0,7,5,0,0,4,2,10,7,9,15,7,14,0,33,35,0,29,2,23,10,1,3
03/25/2021,10,0,,3,3,0,2,1,1,0,0,0,6,4,0,3,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
09/06/2020,143,2,12,16,44,30,17,18,10,3,5,0,72,70,1,54,0,27,38,4,20,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,1,2,0,3,2,3,0,8,4,0,4,0,4,1,0,3
